#FactTable
ID,D1,D2,Fact1,Fact2
425,A,Y,86,608
426,B,Z,70,351
427,A,X,31,110
428,B,Z,5,824
429,A,Y,27,456
430,C,Y,95,963
431,C,Z,16,396
432,B,Z,12,867
433,A,Y,90,991
434,A,Y,39,759
435,A,X,54,168
436,A,Y,74,178
437,A,X,25,639
438,C,Z,90,355
439,B,Z,55,934
440,A,Z,68,15
441,C,Y,55,318
442,A,X,91,766
443,C,Z,35,903
444,B,Z,24,249
445,A,Y,96,322
446,A,X,67,356
447,C,X,73,718
448,B,X,76,772
449,C,X,99,36
450,C,Y,74,475
451,B,Z,58,151
452,A,Y,59,320
453,A,X,78,652
454,C,Z,42,799
455,B,Z,64,616
456,B,X,15,707
457,A,Y,8,894
458,A,Z,80,283
459,C,Z,36,321
460,A,X,55,461
461,B,Y,30,265
462,C,X,46,120
463,C,X,67,194
464,B,X,57,380
465,A,X,19,640
466,A,Z,97,432
467,B,X,76,285
468,A,X,33,182
469,A,Y,62,950
470,C,Y,53,632
471,A,Z,7,384
472,A,Z,10,665
473,B,X,45,644
474,B,Y,12,800
475,B,Y,42,666
476,B,Y,97,563
477,B,X,86,214
478,B,Y,84,442
479,C,Z,27,739
480,A,Z,90,591
481,C,X,64,216
482,A,X,40,694
483,B,X,42,310
484,A,X,63,46
485,C,Y,33,117
486,A,Z,58,705
487,A,Y,6,434
488,B,Y,91,389
489,C,Z,26,624
490,B,Y,33,679
491,B,X,82,497
492,B,Y,5,640
493,A,X,70,856
494,A,Y,52,749
495,C,X,18,117
496,A,X,51,732
497,A,Y,13,239
498,C,Z,13,849
499,B,Z,2,2
500,C,Y,51,356
501,C,Y,57,452
502,A,X,1,853
503,C,Y,88,355
504,C,Z,7,8
505,A,Y,11,488
506,C,Y,74,621
507,B,Z,49,247
508,A,Z,86,209
509,B,Z,92,995
510,C,Z,56,527
511,B,Y,81,195
512,B,Y,92,533
513,A,X,39,918
514,B,Z,79,38
515,B,Y,44,840
516,B,Y,45,154
517,C,Z,75,321
518,A,Z,30,451
519,B,Y,28,436
520,B,Y,29,85
521,A,Y,87,985
522,B,Y,85,295
523,C,Y,97,849
524,A,Z,77,851
525,B,Z,58,282
526,C,X,30,881
527,B,Z,50,125
528,C,X,68,108
529,B,Y,48,636
530,C,Y,76,550
531,B,Z,23,927
532,C,Z,74,37
533,C,Y,56,712
534,C,Y,93,70
535,C,Y,18,4
536,A,Y,23,973
537,C,Z,71,26
538,C,Y,80,598
539,C,Z,20,306
540,C,X,91,186
541,A,Y,88,387
542,B,Y,60,76
543,A,X,80,94
544,C,Z,85,568
545,A,X,50,194
546,A,X,54,821
547,C,Y,46,92
548,B,Z,45,695
549,C,Y,95,461
550,C,Y,44,96
551,B,Z,98,848
552,B,Y,1,927
553,C,Y,80,536
554,B,Y,96,189
555,C,X,93,509
556,B,Z,8,868
557,C,Z,94,262
558,A,Z,14,857
559,B,Y,91,554
560,B,Y,69,337
561,C,Z,98,719
562,C,X,47,4
563,A,Z,10,764
564,C,Z,71,488
565,B,Y,38,39
566,C,Y,36,494
567,A,Y,15,838
568,B,X,19,222
569,C,Y,53,723
570,A,X,32,220
571,C,Z,14,637
572,B,Y,70,869
573,C,Z,84,319
574,B,Y,46,132
575,A,Z,45,733
576,A,X,78,272
577,B,Z,63,128
578,A,Y,54,125
579,C,Z,28,4
580,A,X,25,462
581,B,Y,34,920
582,C,Z,5,631
583,A,Y,55,680
584,C,X,45,422
585,A,Y,77,897
586,A,Z,28,610
587,B,Y,78,491
588,A,X,79,36
589,B,X,66,833
590,A,Z,71,559
591,C,Y,24,883
592,A,Y,7,386
593,C,X,59,382
594,B,X,68,175
595,A,Z,4,565
596,C,X,52,573
597,A,X,4,417
598,C,Y,61,552
599,A,Y,69,895
600,C,Z,60,718
601,C,Y,31,258
602,A,Z,11,132
603,A,Z,71,273
604,C,Y,32,182
605,B,X,48,92
606,B,Z,97,943
607,B,Y,41,516
608,B,X,64,789
609,A,Z,25,985
610,C,Z,54,31
611,B,Z,26,738
612,B,Y,91,112
613,B,X,94,178
614,B,Z,70,788
615,C,X,77,750
616,A,Y,4,903
617,C,X,84,484
618,B,X,2,46
619,B,Y,6,999
620,B,Y,44,579
621,B,Y,16,702
622,C,Z,13,127
623,A,Z,56,127
624,B,Y,54,712
625,C,Y,44,499
626,B,Y,9,34
627,B,X,54,785
628,B,X,96,109
629,C,Y,71,809
630,A,Y,42,157
631,C,Z,8,577
632,C,X,49,221
633,C,Z,54,718
634,C,Y,78,999
635,C,X,9,934
636,A,X,46,281
637,B,X,86,380
638,B,X,7,557
639,C,Y,12,15
640,C,Z,74,414
641,C,X,34,330
642,B,X,13,532
643,B,Z,37,606
644,B,X,3,33
645,C,X,92,75
646,C,Y,28,885
647,B,Z,59,966
648,C,Z,16,59
649,A,Z,42,208
650,B,X,39,627
651,B,Z,41,827
652,C,Y,22,183
653,A,Y,96,844
654,B,Y,9,962
655,A,X,45,780
656,A,Z,99,58
657,C,X,73,8
658,B,X,67,523
659,A,Z,17,974
660,B,X,41,53
661,C,Z,12,794
662,B,Y,75,400
663,C,Y,13,528
664,B,X,19,894
665,B,Y,26,826
666,C,Z,69,847
667,A,Y,53,62
668,A,Z,2,444
669,B,Y,6,687
670,B,Y,67,919
671,B,Y,3,391
672,A,Z,45,210
673,C,Y,40,156
674,C,X,50,571
675,C,Y,19,832
676,A,X,81,168
677,C,X,18,156
678,A,X,54,366
679,B,Y,85,50
680,C,Y,79,17
681,C,Z,85,399
682,A,Z,34,340
683,B,X,74,615
684,C,X,9,920
685,A,Y,89,164
686,A,X,26,926
687,C,Z,35,558
688,B,X,96,26
689,C,X,19,434
690,A,Y,6,558
691,A,X,45,245
692,A,Y,24,415
693,B,Z,57,765
694,A,X,34,393
695,B,Z,95,261
696,A,Y,35,200
697,B,Z,30,140
698,C,X,13,480
699,B,Y,43,431
700,C,X,72,817
701,B,Z,69,959
702,C,Y,44,39
703,B,X,65,157
704,C,Z,65,252
705,A,Z,39,624
706,C,Y,50,370
707,B,Y,74,409
708,A,X,85,186
709,A,X,73,605
710,C,Y,49,63
711,C,Y,71,759
712,A,Y,56,130
713,C,X,21,546
714,A,Z,58,209
715,A,Y,2,26
716,C,Y,5,333
717,C,Y,93,250
718,B,Z,66,511
719,C,Z,84,956
720,A,Z,47,461
721,A,X,95,357
722,B,X,67,22
723,B,Z,17,652
724,A,Z,48,645
725,B,Y,79,933
726,A,X,87,996
727,C,Y,17,968
728,A,Y,76,434
729,B,Y,79,519
730,C,X,21,406
731,A,Z,32,149
732,A,X,75,834
733,B,Z,15,563
734,B,Y,39,874
735,A,X,12,800
736,C,Y,14,933
737,B,Z,47,299
738,C,Z,1,814
739,B,Y,41,373
740,C,Y,8,11
741,A,Y,13,96
742,C,Z,2,343
743,A,Z,19,39
744,C,Z,45,865
745,A,Y,68,178
746,A,Z,47,197
747,C,X,67,998
748,B,X,23,937
749,A,Y,27,48
750,C,X,62,478
751,A,Z,19,55
752,A,X,35,754
753,C,Z,74,179
754,A,Y,52,369
755,B,Y,68,974
756,C,X,77,729
757,A,Y,42,706
758,C,Y,39,305
759,C,X,30,394
760,B,X,86,944
761,C,X,66,905
762,C,Y,91,150
763,C,Z,53,892
764,C,Z,32,287
765,C,Z,28,29
766,A,Y,9,894
767,C,X,18,329
768,A,X,25,637
769,A,Z,7,638
770,B,Y,7,104
771,B,X,91,550
772,C,Y,12,251
773,B,X,61,191
774,A,Z,88,150
775,C,Y,77,965
776,B,Z,96,454
777,A,Z,96,213
778,B,X,81,484
779,C,X,30,263
780,B,Y,88,249
781,C,Z,37,983
782,C,X,90,653
783,B,X,90,864
784,C,X,18,990
785,C,Z,19,975
786,C,Y,46,731
787,C,X,23,52
788,B,X,60,89
789,C,Z,3,350
790,C,X,47,189
791,C,Z,91,474
792,C,Y,10,253
793,A,Z,41,590
794,B,Z,51,900
795,B,Z,66,65
796,A,X,28,888
797,B,Z,45,643
798,A,X,46,824
799,B,Z,77,681
800,B,X,7,470
801,C,X,81,136
802,A,X,84,679
803,A,Z,53,26
804,B,Z,41,199
805,A,X,48,352
806,C,X,32,929
807,B,Z,64,686
808,B,X,67,14
809,C,Y,79,491
810,A,Z,13,854
811,A,X,73,224
812,B,Z,25,248
813,B,Z,14,702
814,C,Y,10,922
815,A,Y,83,237
816,A,Z,74,78
817,A,Y,42,438
818,C,Y,67,814
819,C,X,58,836
820,B,Y,41,814
821,B,Y,88,754
822,B,Y,55,230
823,B,Z,77,498
824,A,X,99,621
825,A,Y,93,334
826,A,X,14,808
827,A,Y,37,91
828,C,X,75,421
829,C,Z,80,334
830,A,Y,43,146
831,B,Z,39,31
832,A,Y,95,500
833,B,X,44,485
834,C,X,22,372
835,C,Z,68,803
836,B,Y,77,717
837,A,X,19,133
838,A,Z,18,215
839,B,Z,95,82
840,A,Y,59,440
841,A,Y,39,361
842,C,Z,85,187
843,B,X,82,100
844,A,Y,46,201
845,C,X,50,346
846,A,Z,33,717
847,A,X,62,284
848,B,Z,5,924
849,A,X,36,366
850,C,Y,87,23
851,A,Z,52,395
852,B,Y,4,856
853,A,Z,40,496
854,A,Z,53,412
855,B,X,28,730
856,A,X,22,932
857,A,Y,59,83
858,B,Z,22,641
859,A,Z,19,221
860,C,Y,24,324
861,A,X,80,438
862,A,Y,26,298
863,B,Z,55,252
864,B,Z,79,127
865,B,Z,33,156
866,B,Y,25,816
867,A,Z,5,261
868,C,Y,81,147
869,C,Y,83,135
870,C,Z,5,718
871,B,X,88,467
872,A,Y,90,684
873,A,Z,41,265
874,A,Y,93,346
875,C,Z,78,18
876,C,X,16,52
877,B,X,51,721
878,C,Y,73,853
879,C,Z,52,338
880,C,Y,60,974
881,C,Y,93,257
882,A,X,68,467
883,C,X,1,422
884,C,Y,18,415
885,C,Y,78,853
886,C,Z,10,106
887,C,Z,13,437
888,C,X,9,904
889,B,Z,63,72
890,B,Y,84,701
891,A,Z,69,776
892,B,X,12,207
893,A,Z,30,903
894,B,Z,32,809
895,B,Y,26,464
896,B,Z,33,391
897,A,Z,94,838
898,A,Y,6,903
899,B,Z,1,728
900,B,X,14,279
901,A,Z,75,307
902,A,X,92,733
903,B,Y,29,76
904,B,X,69,937
905,B,X,48,904
906,B,X,51,548
907,A,Z,38,659
908,C,Y,32,945
909,A,Z,97,767
910,A,Z,18,784
911,C,Z,42,140
912,C,X,51,467
913,A,Y,49,197
914,A,Z,1,889
915,C,Y,71,732
916,C,Y,91,629
917,C,X,77,66
918,A,Z,44,968
919,B,Y,26,20
920,C,Z,87,460
921,B,Z,45,711
922,B,Z,99,481
923,A,Y,34,582
924,A,X,34,814
925,B,Y,77,680
926,A,X,87,117
927,C,X,35,852
928,C,Y,86,767
929,B,Y,11,69
930,B,Z,67,406
931,C,X,61,669
932,C,Y,75,178
933,B,X,34,921
934,C,X,31,871
935,A,Y,72,140
936,A,X,29,886
937,B,Y,96,468
938,A,Y,11,738
939,B,Y,7,45
940,A,Z,57,232
941,A,Z,88,464
942,B,Z,4,655
943,C,X,13,404
944,B,Z,93,297
945,B,X,4,997
946,C,Y,41,846
947,A,X,88,701
948,B,Y,4,251
949,B,Y,87,362
950,B,Y,33,51
951,A,Y,24,309
952,A,Y,35,894
953,C,Y,21,859
954,B,Z,65,441
955,C,X,32,352
956,C,Z,17,947
957,B,Z,61,680
958,B,X,87,168
959,C,Z,93,956
960,A,Z,47,428
961,C,Y,92,166
962,A,Y,74,776
963,A,Z,45,441
964,C,X,96,77
965,B,Y,54,427
966,C,Z,16,610
967,C,Z,38,81
968,A,Z,66,531
969,C,Y,16,483
970,B,Z,24,434
971,C,Z,70,839
972,C,Z,20,602
973,A,X,96,768
974,B,Y,2,460
975,B,Z,60,598
976,A,X,21,740
977,B,Z,76,186
978,B,Z,7,212
979,C,X,56,110
980,A,Z,9,412
981,B,Z,3,199
982,A,X,59,836
983,C,Z,35,513
984,B,Y,16,630
985,A,X,75,268
986,B,Z,49,709
987,A,Y,80,704
988,C,Z,42,667
989,C,X,59,614
990,B,Z,39,589
991,B,Y,83,503
992,A,Z,71,896
993,B,Z,34,963
994,C,Z,96,754
995,C,Y,57,951
996,C,Y,76,943
997,B,Z,28,312
998,A,Z,24,247
999,C,X,75,440
1000,C,X,44,128
1001,B,Y,55,439
1002,B,X,41,618
1003,B,Z,54,728
1004,B,X,70,271
1005,A,Y,47,614
1006,B,Y,3,113
1007,A,Z,33,927
1008,A,Y,81,519
1009,C,X,90,398
1010,C,Y,60,788
1011,B,Z,63,938
1012,C,X,13,620
1013,A,Y,83,704
1014,B,X,23,150
1015,B,X,48,454
1016,B,X,11,36
1017,B,Z,49,400
1018,C,Y,31,747
1019,B,Z,68,871
1020,A,Z,9,167
1021,B,Y,48,548
1022,C,Y,30,7
1023,A,X,51,189
1024,C,Y,78,150
1025,C,Y,26,251
1026,C,Y,27,46
1027,C,Y,46,718
1028,B,Z,89,984
1029,C,Y,77,352
1030,B,X,76,562
1031,B,Y,57,542
1032,C,Y,36,617
1033,A,X,39,738
1034,C,Z,67,830
1035,C,Z,41,544
1036,B,Y,74,233
1037,B,X,45,475
1038,B,Y,73,802
1039,B,Y,11,214
1040,C,Z,18,401
1041,A,Y,42,521
1042,A,X,18,369
1043,A,X,17,512
1044,A,Z,33,205
1045,B,Z,6,808
1046,C,Y,74,435
1047,B,X,6,909
1048,B,X,16,201
1049,C,X,22,668
1050,C,Y,35,225
1051,C,Z,39,171
1052,B,X,33,837
1053,A,Y,23,429
1054,B,Y,10,98
1055,B,Y,16,491
1056,C,Y,17,69
1057,B,Z,27,832
1058,A,X,20,555
1059,A,X,1,498
1060,B,X,30,919
1061,C,Z,3,337
1062,B,Y,61,57
1063,A,X,83,593
1064,A,Z,42,988
1065,B,Z,22,845
1066,A,Y,51,19
1067,B,X,22,651
1068,A,X,70,416
1069,C,Y,65,317
1070,A,X,72,484
1071,B,Z,98,520
1072,B,Z,74,935
1073,C,Z,84,91
1074,A,Z,51,450
1075,B,Y,8,466
1076,A,Y,57,778
1077,C,Y,23,811
1078,B,X,73,708
1079,C,Y,65,473
1080,B,Z,91,104
1081,A,Y,22,648
1082,B,X,49,388
1083,C,Z,99,274
1084,B,Y,77,786
1085,C,Z,74,865
1086,B,X,20,645
1087,C,Y,24,228
1088,A,Y,51,12
1089,B,Z,98,464
1090,A,X,95,857
1091,B,Y,13,867
1092,B,Y,36,865
1093,A,Y,80,265
1094,C,Z,48,969
1095,A,X,33,992
1096,A,Y,84,879
1097,B,X,30,616
1098,C,Y,30,221
1099,C,X,37,501
1100,A,X,43,322
1101,A,X,57,99
1102,C,X,53,639
1103,A,Y,30,455
1104,B,X,51,420
1105,B,Y,71,225
1106,A,Y,85,714
1107,B,X,83,83
1108,C,Z,68,116
1109,A,Z,86,223
1110,B,Z,74,854
1111,A,X,76,837
1112,C,Y,60,719
1113,B,X,94,563
1114,C,X,13,151
1115,A,Z,81,331
1116,A,Z,98,791
1117,B,Y,56,271
1118,C,X,42,103
1119,A,Z,51,877
1120,C,X,27,343
1121,C,X,91,420
1122,B,Y,10,335
1123,C,Y,4,367
1124,A,Y,17,102
1125,A,Z,66,710
1126,B,Y,42,497
1127,C,Z,33,857
1128,A,Y,58,142
1129,A,X,73,260
1130,B,Y,45,426
1131,C,Y,87,691
1132,C,X,57,59
1133,C,Y,92,555
1134,A,Y,6,10
1135,A,Z,30,511
1136,B,Y,89,947
1137,A,Z,18,417
1138,B,Y,36,937
1139,B,Y,44,706
1140,C,Z,52,384
1141,B,Z,76,355
1142,C,Z,94,454
1143,C,Y,64,312
1144,A,Z,57,814
1145,A,Y,20,36
1146,B,Z,95,150
1147,B,X,21,949
1148,B,Z,40,598
1149,B,Y,17,156
1150,A,Y,75,270
1151,B,Y,37,565
1152,C,X,86,636
1153,A,X,43,381
1154,C,Z,65,713
1155,B,X,83,862
1156,A,X,20,575
1157,C,X,59,662
1158,A,Y,13,955
1159,C,Z,94,564
1160,A,X,1,234
1161,C,Y,71,872
1162,C,X,20,2
1163,C,Z,10,42
1164,A,Z,17,247
1165,C,Y,15,889
1166,C,Z,62,331
1167,B,Y,66,455
1168,C,X,30,580
1169,B,Y,50,528
1170,A,Z,20,369
1171,C,X,22,451
1172,A,Z,59,309
1173,B,X,25,730
1174,B,Y,85,65
1175,A,Y,94,43
1176,C,X,39,692
1177,A,Y,70,133
1178,B,Z,82,684
1179,B,X,9,673
1180,C,Z,47,529
1181,B,X,96,15
1182,C,Z,95,602
1183,C,Y,99,215
1184,C,Z,86,367
1185,B,Y,38,382
1186,A,Z,48,917
1187,A,X,89,382
1188,B,Z,55,698
1189,A,Z,99,668
1190,A,X,51,260
1191,B,Y,4,183
1192,A,Z,12,566
1193,B,Z,32,274
1194,C,X,19,466
1195,C,X,27,695
1196,A,Z,37,518
1197,B,X,57,396
1198,C,Y,63,864
1199,B,Y,22,64
1200,B,Z,95,6
1201,B,X,66,756
1202,A,Z,54,231
1203,C,Y,28,37
1204,A,Y,45,306
1205,B,Y,14,597
1206,C,Y,19,909
1207,A,Y,68,461
1208,C,Z,23,925
1209,A,Y,98,324
1210,B,Z,20,592
1211,C,Y,95,319
1212,B,X,55,62
1213,B,Y,17,937
1214,C,X,16,199
1215,C,Z,48,316
1216,A,X,31,345
1217,A,Y,1,316
1218,B,X,43,827
1219,A,Y,17,347
1220,C,Y,88,611
1221,C,Z,81,914
1222,C,Y,77,839
1223,B,Y,61,600
1224,A,X,47,228
1225,A,Y,65,783
1226,A,X,1,120
1227,A,Z,66,455
1228,A,Z,28,293
1229,A,Z,35,784
1230,A,Y,23,111
1231,B,X,51,795
1232,A,Y,97,639
1233,A,X,12,793
1234,A,Y,72,899
1235,B,Z,93,960
1236,A,Z,33,935
1237,B,Z,98,795
1238,B,X,26,459
1239,B,X,27,767
1240,C,Z,6,432
1241,A,Y,18,935
1242,C,Z,99,733
1243,A,Z,57,85
1244,B,X,39,633
1245,B,Y,5,425
1246,A,Z,48,753
1247,A,Y,51,249
1248,B,Y,45,924
1249,A,Y,87,926
1250,A,Z,28,660
1251,C,Y,59,618
1252,B,X,65,281
1253,C,Y,53,343
1254,B,X,3,268
1255,C,X,67,844
1256,A,X,21,43
1257,A,X,57,256
1258,B,Y,84,350
1259,B,X,31,961
1260,B,Y,29,605
1261,C,Z,97,77
1262,B,Z,28,300
1263,A,Y,48,220
1264,B,Y,96,606
1265,A,X,63,756
1266,C,Z,75,713
1267,A,Z,45,896
1268,A,Y,35,414
1269,C,X,63,905
1270,A,X,29,351
1271,C,X,77,232
1272,C,Y,63,866
1273,C,X,60,652
1274,A,Y,75,325
1275,C,Z,9,148
1276,B,Y,3,880
1277,A,Y,62,631
1278,A,Z,31,374
1279,B,Z,76,956
